data,label,CCT_xc_class_000_distance,CCT_xc_class_001_distance,CCT_xc_class_000_count5,CCT_xc_class_001_count5,CCT_xc_class_000_count7,CCT_xc_class_001_count7,CCT_x4_class_000_distance,CCT_x4_class_001_distance,CCT_x4_class_000_count5,CCT_x4_class_001_count5,CCT_x4_class_000_count7,CCT_x4_class_001_count7,r50_xc_class_000_distance,r50_xc_class_001_distance,r50_xc_class_000_count5,r50_xc_class_001_count5,r50_xc_class_000_count7,r50_xc_class_001_count7,r50_xc_class_000_xs5,r50_xc_class_001_xs5,r50_xc_class_000_xs3,r50_xc_class_001_xs3,r50_x4_class_000_distance,r50_x4_class_001_distance,r50_x4_class_000_count5,r50_x4_class_001_count5,r50_x4_class_000_count7,r50_x4_class_001_count7
chest_hosp/train/0/CX-0-0001.jpeg,0,1.294361073,1.975572769,5,0,7,0,0.141034172,0.770132657,5,0,7,0,8.95E-06,1.995062001,5,0,7,0,5,0,3,0,0.043449498,0.240192076,5,0,7,0
chest_hosp/train/0/CX-0-0002.jpeg,0,1.429717616,1.997106571,5,0,7,0,0.22605403,0.861833124,5,0,7,0,1.56E-06,1.994813992,5,0,7,0,5,0,3,0,0.02627618,0.242381444,5,0,7,0
chest_hosp/train/0/CX-0-0003.jpeg,0,1.367385695,1.989639397,5,0,7,0,0.194469174,0.894753606,5,0,7,0,6.99E-06,1.99423928,5,0,7,0,5,0,3,0,0.01758673,0.247552882,5,0,7,0
chest_hosp/train/0/CX-0-0004.jpeg,0,1.307141058,1.978428868,5,0,7,0,0.191938601,0.85244279,5,0,7,0,1.14E-05,1.99511545,5,0,7,0,5,0,3,0,0.024278514,0.238873406,5,0,7,0
chest_hosp/train/0/CX-0-0005.jpeg,0,0.52264569,0.000256012,0,5,0,7,0.226974211,0.387970504,4,1,6,1,2.88E-05,1.993819406,5,0,7,0,5,0,3,0,0.034815767,0.219572569,5,0,7,0
chest_hosp/train/0/CX-0-0006.jpeg,0,0.056610722,0.243227361,5,0,5,2,0.149557018,0.675572363,5,0,7,0,6.00E-06,1.994985444,5,0,7,0,5,0,3,0,0.029564948,0.221173328,5,0,7,0
chest_hosp/train/0/CX-0-0007.jpeg,0,0.457832881,0.001390656,2,3,3,4,0.195369176,0.417435102,5,0,7,0,8.86E-06,1.994188734,5,0,7,0,5,0,3,0,0.044632729,0.241642235,5,0,7,0
chest_hosp/train/0/CX-0-0008.jpeg,0,1.35989242,1.988452473,5,0,7,0,0.207110502,0.910886544,5,0,7,0,2.00E-07,1.994698317,5,0,7,0,5,0,3,0,0.022501505,0.250076382,5,0,7,0
chest_hosp/train/0/CX-0-0009.jpeg,0,1.189080553,1.946028067,4,1,6,1,0.225064183,0.72946729,5,0,7,0,7.03E-06,1.99423816,5,0,7,0,5,0,3,0,0.046133776,0.232406709,5,0,7,0
chest_hosp/train/0/CX-0-0010.jpeg,0,1.377268935,1.991112183,5,0,7,0,0.349967911,0.996223856,4,1,6,1,3.08E-05,1.993790389,5,0,7,0,5,0,3,0,0.079776687,0.214450806,5,0,7,0
chest_hosp/train/0/CX-0-0011.jpeg,0,0.486523919,0.000179755,0,5,0,7,0.122962845,0.453455745,5,0,7,0,6.86E-07,1.994753557,5,0,7,0,5,0,3,0,0.01277617,0.23833646,5,0,7,0
chest_hosp/train/0/CX-0-0012.jpeg,0,1.223331893,1.956790974,5,0,6,1,0.244696832,0.73333836,5,0,7,0,5.09E-06,1.994297729,5,0,7,0,5,0,3,0,0.031716409,0.240715633,5,0,7,0
chest_hosp/train/0/CX-0-0013.jpeg,0,1.269963107,1.969671036,5,0,7,0,0.120166943,0.748709198,5,0,7,0,2.40E-06,1.994404018,5,0,7,0,5,0,3,0,0.019405674,0.239172863,5,0,7,0
chest_hosp/train/0/CX-0-0014.jpeg,0,0.422229805,0.004578076,0,5,1,6,0.084566474,0.514392749,5,0,7,0,1.25E-07,1.994581121,5,0,7,0,5,0,3,0,0.009175607,0.234444367,5,0,7,0
chest_hosp/train/0/CX-0-0015.jpeg,0,0.442284206,0.002545153,0,5,0,7,0.211246559,0.451447582,5,0,7,0,1.72E-07,1.994693593,5,0,7,0,5,0,3,0,0.021618675,0.240355747,5,0,7,0
chest_hosp/train/0/CX-0-0016.jpeg,0,0.393663397,0.00859122,0,5,0,7,0.139746391,0.493341189,5,0,7,0,1.30E-07,1.994580272,5,0,7,0,5,0,3,0,0.019733745,0.214980066,5,0,7,0
chest_hosp/train/0/CX-0-0017.jpeg,0,0.493269844,6.18E-05,2,3,2,5,0.138664377,0.497086576,5,0,7,0,1.28E-08,1.994616491,5,0,7,0,5,0,3,0,0.017107511,0.228131765,5,0,7,0
chest_hosp/train/0/CX-0-0018.jpeg,0,0.39932915,0.007686834,2,3,3,4,0.199288275,0.510078696,5,0,7,0,6.97E-06,1.99501233,5,0,7,0,5,0,3,0,0.041884337,0.205052969,5,0,7,0
chest_hosp/train/0/CX-0-0019.jpeg,0,1.15609557,1.93464631,4,1,6,1,0.133622248,0.733176437,5,0,7,0,8.70E-05,1.993181715,5,0,7,0,5,0,3,0,0.032950865,0.217815493,5,0,7,0
